Company (Registered Participant)
AGL Hydro Partnership
AGL PARF NSW Pty Ltd
AGL PARF Qld Pty Limited 
AGL SA Generation Pty Limited 
Alinta Energy Retail Sales Pty Ltd
Ararat Wind Farm Pty Ltd
Berrybank Development Pty Ltd
Boco Rock Wind Farm Pty Ltd
Bodangora Wind Farm Pty Limited
"Bomen Solar Farm Pty Ltd (ACN 620 832 108) as trustee for
Bomen SF Trust"
Braemar Power Project Pty Ltd
Bulgana Wind Farm Pty Ltd
BWF Nominees Pty Ltd as The Trustee for the BWF Trust
Capricorn SF No1 Pty Ltd 
Cherry Tree Wind Farm Pty Ltd as trustee for The Cherry Tree Project trust 
Childers Solar Farm Pty Ltd
Clare Solar Farm Pty Ltd
Clermont Asset Co Pty Ltd (ACN 623 155 573) as Trustee for the Clermont Solar Unit Trust
Coleambally Solar Pty Ltd
Collector Wind Farm Pty Ltd
Corowa Operationsco Pty Ltd as Trustee for the Corowa Operations Trust
Crookwell Development Pty Ltd
CRWF Nominees Pty Ltd as Trustee for CRWF Trust
Darling Downs Solar Farm Pty Ltd 
Daydream Solar Farm Pty Ltd ATF the Daydream Solar Farm Trust 
Diamond Energy Pty Ltd 
Dundonnell Wind Farm Pty Ltd
Elliott Nevertire Solar Pty Ltd as Trustee for the Elliott Nevertire Trust
Enel Energy Australia Pty Ltd
Ergon Energy Queensland Pty Ltd
Finley Solar Farm Pty Ltd (ABN 89 616 527 621) as trustee for the Finley Solar Trust
FS NSW Project No 1 At Pty Ltd (ACN 621 215 969) as trustee for the FS NSW Project No 1 Asset Trust
Gannawarra Solar Farm Pty Ltd
Genex (Solar) Pty Ltd 
Glenrowan Sun Farm Pty Ltd
Goonumbla Asset Co Pty Ltd (ACN 628 351 271) as The Trustee for Goonumbla Asset Trust
Granville Harbour Operations Pty Ltd as The Trustee for Granville Harbour Operations Trust
Gunnedah SF Pty Ltd as Trustee for Gunnedah Asset Trust
Gunning Wind Energy Developments Pty Ltd
Hamilton Solar Farm Pty Ltd
Hayman Solar Farm Pty Ltd ATF the Hayman Solar Farm Trust 
HWF1 Pty Ltd 
HWF2 Pty Ltd 
HWF3 Pty Ltd
Hydro-Electric Corporation trading as Hydro Tasmania
Iraak Sun Farm Pty Ltd 
Jemalong PV Asset Pty Ltd as Trustee for the Jemalong PV Asset Trust
Junee Operationsco Pty Ltd as trustee for Junee Operations Trust
Kennedy Energy Park Pty Ltd
Kiata Wind Farm Pty Ltd
KSF Project Nominees Pty Ltd as Trustee for the KSF Project Trust 
Lake Bonney Wind Power Pty Ltd
Lal Lal Wind Farms Nom Co Pty Ltd
Lightsource Australia SPV 4 Pty Ltd 
Limondale Sun Farm Pty Ltd
Lincoln Gap Wind Farm (Operations) Pty Ltd
Manildra Prop Pty Ltd as The Trustee for the Manildra Asset Trust
Molong Operationsco Pty Ltd as Trustee for the Molong Operations Trust
Moorabool Wind Farm Interface Company Pty Ltd
Moree Solar Farm Pty Ltd
Mt Gellibrand Wind Farm Pty Ltd
Mt Mercer WindFarm Pty Ltd
New Gullen Range Wind Farm Pty Ltd
Numurkah Solar Farm Pty Ltd
Origin Energy Uranquinty Power Pty Ltd
Pacific Hydro Clements Gap Pty Ltd
Pacific Hydro Crowlands Pty Ltd
Pacific Hydro Haughton Solar Farm Pty Ltd
Parkes Solar Farm Pty Ltd
Ross River Operations Pty Ltd as the Trustee for the Ross River Operations Trust 
Salt Creek Wind Farm Pty Ltd
Shell New Energies Australia Pty Ltd 
Snowtown Wind Farm Pty Ltd
Snowtown Wind Farm Stage 2 Pty Ltd
South Australian Water Corporation  
Stockyard Hill Wind Farm Pty Ltd
Sun Metals Corporation Pty Ltd
Suntop SF Pty Ltd as trustee for the Suntop Asset Trust
Sunraysia Solar Project Pty Ltd as Trustee of Sunraysia Solar Project Trust
Susan River Solar Pty Ltd as Trustee for Susan River Solar Trust
Taralga Wind Farm Nominees No 2 Pty Ltd (ATF Taralga Wind Farm Operating Trust)
Telstra Energy (Generation) Pty Ltd
The Trustee for the SWF1 Operations Trust 
The University of Queensland
Vena Energy Services (Australia) Pty Ltd
Wagga Wagga Operationsco Pty Ltd as trustee for Wagga Wagga Operations Trust  
Waterloo Wind Farm Pty Ltd 
Wemen Asset Co Pty Ltd as Trustee for Wemen Solar Unit Trust
White Rock Wind Farm Pty Ltd
Whitsunday Solar Farm Pty Ltd
Wild Cattle Hill Pty Ltd
Willogoleche Power Pty Limited
Winton Asset Co Pty Ltd as the Trustee for Winton Asset Trust
Woodlawn Wind Pty Ltd
Yarranlea Solar Pty Ltd
Yatpool Sun Farm Pty Ltd 
Total Semi-Scheduled Generators Registered with NEM
AGL PARF NSW Pty Limited
South Australian Water Corporation  
Murra Warra II Asset Co Pty Ltd as Trustee for the Murra Warra II Asset Trust 
Western Downs Green Power Hub Pty Ltd
Hillston Sun Farm Operations Pty Ltd as Trustees for Hillston Sun Farm Operations Trust 
Columboola Solar Farm Nominees Pty Ltd as Trustee  for Columboola Solar Farm op Trust
Infigen Energy Markets Pty Limited
"Metz ProjectCo Pty Ltd as trustee for the Metz ProjectCo Trust
"
Sebastopol Asset Co Pty Ltd as Trustee for the Sebastopol Asset Trust
Lincoln Gap Wind Farm (Operations) Pty Ltd
Stockyard Hill Wind Farm Pty Ltd
X-Elio Blue Grass Pty Ltd
